1336	12	6	13.43
1821	101	3	4.68
102	5844	4	29.29
12	1940	7	24.79
101	2336	4	10.66
101	4255	3	9.43
462	1682	3	38.51
102	6627	3	21.96
8088	14	3	18.21
3720	6156	3	65.66
12	2315	3	5.84
1500	14	6	19.17
231	636	3	27.69
12	892	20	96.56
262	636	3	28.71
143	183	3	13.68
7130	101	3	15.87
102	1135	12	70.09
253	1979	4	50.22
798	130	23	297.56
154	108	7	14.4
102	1307	9	47.91
120	122	8	20.32
101	749	5	4.69
1882	12	3	4.51
537	14	8	14.03
130	184	6	30.82
591	1113	3	36.84
102	1559	4	14.43
130	228	23	202.42
1427	14	3	5.15
435	14	7	8.65
101	1072	5	7.62
6933	611	3	52.89
7454	353	3	49.95
102	3696	3	15.34
109	172	8	26.1
102	3748	3	15.34
101	2208	5	14.68
101	2291	5	16.31
205	127	3	12.02
169	160	19	163.73
155	125	3	8.35
107	1140	3	13.29
613	402	3	31.14
466	14	9	15.9
12	280	10	5.37
12	196	21	18.61
494	131	11	97.85
12	130	84	111.62
2492	12	3	5.84
110	102	63	68.33
101	1259	6	12.88
101	1335	4	5.88
118	101	55	15.91
3231	119	4	41.1
1009	245	3	31.24
102	693	11	45.91
7675	110	3	33.5
134	102	13	4.38
114	155	4	9.52
1590	12	5	10.87
104	566	6	20.24
12	1223	4	5.17
5077	194	3	40.77
131	14	35	21.6
1046	14	7	19.53
909	101	5	6.17
252	101	29	65.45
101	3880	4	16.3
101	3668	4	16.3
280	106	9	30.25
5394	12	4	20.88
109	1826	6	50.13
407	12	23	63.76
2568	12	3	6.71
101	1486	6	14.83
106	1314	4	19.2
1757	12	3	3.99
2678	12	3	6.71
1204	119	4	30.79
203	107	5	9.9
12	488	36	179
16	59	19	68.23
104	1345	4	17.11
3234	101	3	7.99
1428	12	5	10
106	552	3	7.38
101	323	22	47.23
538	12	12	22.6
2401	12	3	5.84
101	580	25	102.71
152	1874	5	56.34
101	408	10	11.51
109	780	3	13.89
1137	101	7	16.43
101	2816	3	6.9
101	4734	4	21.16
181	101	19	11.57
293	279	5	46.57
15	475	6	103.66
12	179	108	502.53
762	115	5	33.57
162	102	16	22.13
3023	1305	6	117.34
5230	12	4	20.88
102	784	13	62.67
103	437	4	8.35
101	1350	5	9.53
101	1170	4	4.93
1289	14	8	30.04
304	14	38	160.14
1012	12	5	6.82
317	1537	4	50.13
105	1262	3	12
493	388	5	55.39
155	114	18	95.4
1220	12	4	5.17
4320	110	3	26.79
101	1737	5	12.18
101	7869	3	15.87
803	121	3	18.93
102	6343	3	21.96
656	102	3	4.2
106	625	4	13.03
9	16	8	6.61
104	2512	4	22.58
524	270	3	27.9
102	1556	6	27.61
130	125	4	8.77
621	102	3	4.03
113	494	8	54.41
3730	377	4	62.22
2214	108	3	18.9
1191	12	4	4.72
3750	120	3	29.82
893	12	9	20.14
142	3927	3	34.3
105	108	30	13.24
106	985	7	37.79
369	102	6	10.39
107	342	4	10.93
586	119	4	25.01
4612	7677	3	67.89
102	1150	6	23.28
3688	1541	5	99.24
152	188	3	14.8
2	163	6	17.24
207	921	9	111.16
2	104	24	10.81
2074	6499	3	60.93
101	5244	3	11.52
113	1586	9	90.46
108	421	5	20.53
1358	12	6	13.43
13	5023	4	41.97
